Студент;Как часто вы записываете лекции или выступления?;Какие способы записи вы обычно используете? (можно выбрать несколько);С какими проблемами при записи лекций вы сталкиваетесь чаще всего? (можно выбрать несколько);Бывало ли, что из-за плохой записи вы пропускали важную информацию?;Как вы обычно пересматриваете записанные лекции?;Насколько для вас важно, чтобы в записи было чётко видно преподавателя и доску?;Пробовали ли вы использовать специализированное оборудование для записи лекций?;Какой максимальной суммой вы готовы заплатить за устройство, которое улучшит запись лекций?;Какие функции были бы для вас самыми полезными? (можно выбрать несколько);Хотели бы вы получать запись лекции в автоматически обработанном виде? (например, с субтитрами, разметкой по темам)
Студент 1;"Почти на каждой лекции";"Просто ставлю телефон на парту";"Преподаватель выходит из кадра, Плохое качество звука (не слышно преподавателя)";"Да, часто";"Ищу только ключевые моменты";"Очень важно";"Нет, но хотел(а) бы попробовать";"1000–3000 руб.";"Автоматическое слежение за преподавателем, Улучшение звука (шумоподавление)";"Да, это было бы очень полезно"
Студент 2;"Иногда, когда тема сложная";"Просто ставлю телефон на парту, Записываю на диктофон (аудио)";"Не видно доску/слайды";"Иногда";"Пересматриваю полностью";"Важно, но можно обойтись";"Нет, мне это не нужно";"До 1000 руб.";"Стабилизация видео";"Нет, мне достаточно обычной записи"
Студент 3;"Почти на каждой лекции";"Использую штатив или подставку";"Преподаватель выходит из кадра, Плохое качество звука (не слышно преподавателя)";"Да, часто";"Ищу только ключевые моменты";"Очень важно";"Да, но результат не устраивает";"3000–5000 руб.";"Автоматическое слежение за преподавателем, Улучшение звука (шумоподавление)";"Да, это было бы очень полезно"
Студент 4;"Редко, только если очень важно";"Записываю на диктофон (аудио)";"Плохое качество звука (не слышно преподавателя)";"Редко";"Почти не пересматриваю";"Не очень важно";"Нет, мне это не нужно";"Не готов(а) платить";"Улучшение звука (шумоподавление)";"Нет, мне достаточно обычной записи"
Студент 5;"Никогда не записываю";"Использую штатив или подставку";"Плохое качество звука (не слышно преподавателя)";"Никогда";"Ищу только ключевые моменты";"Совершенно неважно";"Нет, мне это не нужно";"Не готов(а) платить";"Улучшение звука (шумоподавление)";"Нет, мне достаточно обычной записи"
Студент 6;"Почти на каждой лекции";"Просто ставлю телефон на парту, Пользуюсь ноутбуком/планшетом";"Плохое качество звука (не слышно преподавателя), Не видно доску/слайды";"Иногда";"Ищу только ключевые моменты";"Очень важно";"Нет, но хотел(а) бы попробовать";"3000–5000 руб.";"Автоматическое слежение за преподавателем, Улучшение звука (шумоподавление), Стабилизация видео";"Да, это было бы очень полезно"
Студент 7;"Редко, только если очень важно";"Записываю на диктофон (аудио)";"Плохое качество звука (не слышно преподавателя)";"Редко";"Пересматриваю полностью";"Важно, но можно обойтись";"Нет, мне это не нужно";"До 1000 руб.";"Улучшение звука (шумоподавление)";"Возможно, если это не усложнит процесс"
Студент 8;"Иногда, когда тема сложная";"Просто ставлю телефон на парту, Использую штатив или подставку";"Преподаватель выходит из кадра, Не видно доску/слайды";"Да, часто";"Ищу только ключевые моменты";"Очень важно";"Да, но результат не устраивает";"Более 5000 руб.";"Автоматическое слежение за преподавателем, Стабилизация видео";"Да, это было бы очень полезно"
Студент 9;"Редко, только если очень важно";"Пользуюсь ноутбуком/планшетом";"Не видно доску/слайды";"Никогда";"Почти не пересматриваю";"Важно, но можно обойтись";"Нет, мне это не нужно";"Не готов(а) платить";"Возможность удалённого управления";"Нет, мне достаточно обычной записи"
Студент 10;"Никогда не записываю";"Другое (свой вариант)";"Другое (свой вариант)";"Никогда";"Почти не пересматриваю";"Не очень важно";"Нет, мне это не нужно";"Не готов(а) платить";"Другое (свой вариант)";"Нет, мне достаточно обычной записи"
